
  Product name        Amount         Price (per kg)
S pear                0.641 kg       $ 20.53
S Banana              0.908kg        $21.92
S Orange              345 g          $24.21
S Banana              1924g          $23.62
P Apple (green)       0.684kg        $12.5
S Banana              396 g          $ 23.28
S Watermelon          1461 g         $29.91
S Pineapple           1.877 kg       $60.87
S Apple (red)         1542g          $8.40
S apple (red)         323 g          $9.11
S Orange              1.201 kg       $26.48
P Orange              1.416 kg       $23.32
P Apple (green)       927g           $11.40
S Apple (red)         885g           $7.7
S Pear                633 g          $ 20.31
S Orange              424g           $26.92
P Apple (green)       3433 g         $11.5
S Pear                1.687kg        $20.30
S Banana              944 g          $23
S banana              1053 g         $21.6
S Apple (green)       860g           $13.04
S Pear                1395g          $17.15
S Apple (green)       1.616 kg       $13.51
S Pear                1.607kg        $ 21.03
S Pineapple           0.821 kg       $58.4
S Orange              0.989kg        $24.43
S Watermelon          1.695 kg       $ 35.9
P Orange              0.78 kg        $ 19.58
S Apple (green)       1.446 kg       $11.55
S Pear                1.655 kg       $19.7
S Pear                399g           $17.58
S Pineapple           1882g          $64.0
S Banana              0.901kg        $20.79
P Apple (red)         12420 g        $ 6.52
P Apple (green)       8647g          $10.19
S Pear                1764g          $21.6
S Banana              328 g          $21.0
S banana              1207g          $23.21
S Watermelon          1.282 kg       $30.1
S Orange              1080 g         $24.6
S Banana              1951g          $22.9
S Watermelon          1.615kg        $32.5
P watermelon          3.141 kg       $24.16
S apple (red)         1.397kg        $9.11
S apple (red)         1.441kg        $8.73
S pear                1.818 kg       $ 17
S Apple (green)       641g           $13.4
S Pineapple           285g           $62.1
S Pear                190 g          $18.01
P Apple (red)         5.806kg        $7.91
S banana              1469 g         $19.4
S Pear                1662 g         $20
S Apple (green)       1401 g         $13.99
P Orange              1540 g         $22.5
S Banana              0.725 kg       $19.3
S Pear                898g           $17.4
S Apple (green)       325g           $ 11.7
P Apple (green)       17.587 kg      $11
S Apple (red)         0.796kg        $8.94
S Pineapple           0.577kg        $68.74
S Pineapple           0.695kg        $ 66.4
S Pineapple           1.754 kg       $57.30
S Orange              245 g          $24.1
P Apple (red)         18765g         $7.78
S Apple (red)         421 g          $8.0
S Watermelon          364 g          $33.89
S Pear                1.769kg        $19.96
P Pear                3.486 kg       $15.64
S orange              0.595 kg       $26.5
S Banana              1.346 kg       $19.5
S Apple (red)         741g           $9.4
S Orange              225g           $ 28.24
P Orange              0.704kg        $23.53
S Pear                1131g          $ 17.9
P Apple (green)       15550g         $ 11.92
S Apple (red)         1163g          $9.4
S Pineapple           158 g          $57.88
S Pear                1485g          $18.23
P Orange              16641g         $22.90
S Apple (red)         648 g          $8
P Apple (green)       8.631 kg       $10.2
S Orange              0.978 kg       $22.97
S Pear                1.949kg        $19.8
P Pineapple           945g           $60.14
S Apple (red)         843 g          $7.9
S Apple (green)       1496g          $12.83
S Apple (red)         0.956kg        $9.0
S apple (green)       1471 g         $12.3
S Pineapple           1116 g         $64.86
S Watermelon          452g           $30.39
S Watermelon          920g           $ 29.27
P pear                1.479 kg       $ 16.96
S Pear                0.785 kg       $ 19.5
S Pear                1989g          $17.49
S watermelon          1700g          $ 30
P apple (green)       12941g         $9.9
P Banana              17.388kg       $20
P Banana              17737g         $ 16.99
S orange              1069g          $25.1
P Pineapple           959g           $ 47.45
S apple (green)       304 g          $14.1
S Orange              1.514kg        $ 23.02
S Banana              170 g          $ 20.83
S Apple (red)         1901g          $ 8.54
P Watermelon          10848 g        $ 27.25
S Watermelon          131g           $ 33.68
S Apple (green)       1.892 kg       $13.16
S Apple (green)       0.899kg        $14.23
S pear                465g           $17.98
S apple (green)       464 g          $12.61
S Apple (green)       552g           $13.53
S pear                1968 g         $19.4
S Pear                1904 g         $18.67
S banana              1.058 kg       $23.10
S Pear                1263 g         $21.04
S Banana              0.863kg        $22.7
S Apple (red)         154g           $8.97
S Watermelon          1.177kg        $33
S Apple (green)       1.115 kg       $12.3
S Pineapple           461 g          $67.35
S Pineapple           469g           $63.97
S banana              1.679kg        $ 19
S Watermelon          387 g          $34.1
S Watermelon          249g           $30.1
S Banana              215g           $22.61
S apple (red)         1.349kg        $7.68
P Pineapple           1.905kg        $60.62
S Pineapple           257 g          $67.78
S Watermelon          1.432kg        $34.5
S Orange              1.151 kg       $28.00
P Pineapple           18.21kg        $52
S Pear                1.928kg        $21.5
S Orange              1.704kg        $25.40
S Pineapple           138g           $58.2
S orange              1908 g         $27.7
S Pear                1362g          $21
S Apple (green)       1053 g         $11.8
S Watermelon          1.873kg        $31.80
S pineapple           0.808kg        $56.75
S Orange              806 g          $24.37
S Pear                1813 g         $21.20
S apple (red)         460 g          $8.06
S banana              1381 g         $21.85
S Watermelon          1945 g         $34.61
S banana              1337 g         $19.53
P pear                4363g          $17.19
S Apple (green)       1562g          $13.74
S watermelon          1.808 kg       $30.37
S apple (red)         350g           $9.50
S Pear                0.785 kg       $ 19.1
S Apple (red)         458 g          $8.7
S Watermelon          0.651 kg       $29.25
S Apple (green)       1635g          $14.27
S orange              0.967kg        $25.70
P Banana              4490g          $17.2
S Apple (green)       0.823kg        $12.02
P Pineapple           14042g         $51.25
S Orange              1296g          $ 26.76
S Watermelon          1.49kg         $34.9
S Pear                1.725kg        $ 21.06
S Apple (green)       1.257kg        $12.14
S Apple (green)       564 g          $12.20
S apple (red)         0.824 kg       $ 8.44
S Apple (green)       0.684 kg       $ 12.45
S Apple (red)         315 g          $9
S banana              1.462kg        $20.84
S Pineapple           722 g          $56.85
P Watermelon          15616g         $ 25
S Pineapple           1.833kg        $58.96
S Apple (green)       1593 g         $13.87
S Pineapple           1.012 kg       $60.8
S Orange              0.895kg        $25.47
S Orange              1.074 kg       $28.80
P Watermelon          1490 g         $30.89
S apple (green)       883 g          $13.5
S Banana              0.545 kg       $23.12
S Watermelon          0.911 kg       $31.7
S Watermelon          362 g          $35.85
S Watermelon          144 g          $33.64
S Apple (green)       1907 g         $ 13.09
S Pear                1.684kg        $21.3
S apple (green)       1.988kg        $12.12
P banana              2.069kg        $18.52
S watermelon          0.511 kg       $ 33.2
P Pear                19571 g        $18
S pear                1.766 kg       $ 17.58
S Pear                1.441 kg       $ 18.75
S Apple (red)         1292g          $8.2
S Watermelon          0.703kg        $29.98
S Apple (red)         471g           $8.7
P Watermelon          12.031kg       $27.2
S Pineapple           1629g          $57
S banana              0.543kg        $23.49
S Pear                764g           $20.23
S apple (green)       1394 g         $12.76
S Apple (green)       1494 g         $14.0
P Apple (red)         8.1 kg         $6.93
S orange              1118g          $ 23
S apple (red)         1.963kg        $ 9.28
S Pear                1.794kg        $19.3
S Apple (green)       0.79 kg        $11.8
S Apple (green)       288 g          $12.37
S Banana              501g           $20.61
S Orange              1385g          $25.6
S Banana              462 g          $21.61
S Apple (green)       0.661 kg       $11.4
S Pear                0.727kg        $ 18.61
S Watermelon          1729g          $33.75
S Apple (red)         104 g          $8.2
S Banana              0.709kg        $19.9
S pineapple           1.547kg        $61.6
S Watermelon          1973g          $32.2
P Orange              2817g          $24.04
S Apple (red)         1314g          $9.23
S Banana              423g           $ 22.91
S Pear                404 g          $17.9
S Apple (red)         1.262kg        $ 9.3
P banana              8922g          $19.2
S Apple (green)       1.899 kg       $13.91
S orange              1.861 kg       $24.9
S Banana              1.723kg        $22.42
S Watermelon          1.043kg        $34.4
S Pear                662 g          $20.48
P Apple (green)       8.287kg        $12.01
S Watermelon          1.219kg        $29.08
S Apple (green)       1246 g         $ 14.16
S pineapple           731g           $59.2
S Watermelon          1145g          $34
S Apple (green)       1893 g         $13.32
S pear                1680g          $17.67
S Apple (red)         511g           $8.66
S Banana              1691 g         $20.94
S Pineapple           1612 g         $62
S Banana              257g           $ 20
S pineapple           0.803 kg       $58
S Pear                187g           $20
S Pear                1.711 kg       $18.21
S Pear                312 g          $17.63
S Pear                908g           $18.00
S apple (green)       1729 g         $13.57
S orange              1605g          $25.24
S Watermelon          967g           $29.21
S Apple (red)         608 g          $9.40
S Watermelon          1926g          $33.87
S Apple (green)       0.865 kg       $ 14.16
P Orange              1.83 kg        $ 22.7
S pear                0.626kg        $19.85
S Apple (red)         425g           $8.82
S Watermelon          312g           $ 29.6
S apple (green)       0.861kg        $14.13
S Apple (red)         1.608kg        $9.51
S Apple (green)       0.883kg        $13.56
S Pineapple           1586 g         $ 64.34
S banana              1.484 kg       $ 23.17
S Pear                1.231kg        $20.42
S Pineapple           200 g          $66.12
S Watermelon          289 g          $34.14
S Banana              1962g          $20.23
S Watermelon          1.077 kg       $30.82
S Banana              1638 g         $21.67
S apple (red)         472 g          $8.87
P Orange              2.388 kg       $25.2
S pineapple           996g           $57.72
P Orange              13455g         $24.91
S orange              0.691kg        $23.3
S Pear                986g           $ 19.01
S Banana              107g           $21.33
P Watermelon          9.019 kg       $25.1
S orange              612g           $27.09
S Apple (green)       0.883kg        $12.32
P Pear                1900 g         $15.9
S Orange              1.094kg        $ 23.79
S Pear                313 g          $20.72
S apple (green)       791g           $14.12
S pineapple           203g           $60.0
S Orange              0.79 kg        $24
P Watermelon          12.291 kg      $29.47
S Apple (green)       1.672kg        $ 11.9
S Pear                1.786kg        $17.7
S Pineapple           745 g          $65.1
S Pineapple           1415 g         $59.80
S Watermelon          1409 g         $28.76
S Orange              1.808 kg       $26.5
S Pear                588 g          $19.12
S Banana              0.956 kg       $20.53
S apple (red)         1027g          $8.19
S Watermelon          1174g          $33.15
S watermelon          295g           $33.56
S Banana              1.921 kg       $21.85
S Pineapple           1825 g         $59.56
S Apple (green)       146 g          $13.01
S banana              1361 g         $23.82
S Orange              454 g          $ 28.5
S banana              1.611kg        $22.4
P Pineapple           15510g         $48.26
S Watermelon          1124 g         $29.03
S Apple (green)       1.177 kg       $ 13.07
S Banana              0.531 kg       $21.3
S Orange              390g           $23.64
S Banana              1.079kg        $21.02
S Watermelon          1708 g         $35.56
S pear                1.151 kg       $19.6
S Apple (green)       827 g          $13.1
S banana              991 g          $19.47
S Apple (red)         1003g          $7.82
S Apple (red)         365g           $ 8.83
S Pear                608 g          $17.39
S Pineapple           1117g          $69.08
S Watermelon          428 g          $33.50
S Pineapple           1.049 kg       $68.21
S Watermelon          0.893 kg       $31.9
S Watermelon          1.618 kg       $31.07
S Pear                1946g          $18.9
S pear                1.974 kg       $19.4
P Pineapple           19074 g        $54.15
S Orange              1769g          $25.63
S Watermelon          1.211kg        $ 31.9
S Watermelon          756g           $32.29
S Orange              208g           $24.3
S Watermelon          1735 g         $33.89
S Pear                789 g          $17.6
S Pear                313 g          $ 19.85
S Banana              0.964kg        $ 20.5
S Pear                1307 g         $19.18
S banana              1953g          $19.1
P Apple (red)         6049 g         $ 6.97
S pineapple           1.204 kg       $69.57
S Pineapple           579 g          $62.0
S Pineapple           1208g          $68.8
S Pineapple           0.814 kg       $ 68.60
S Apple (green)       1.611kg        $ 12.73
S Orange              1683g          $23.51
S apple (green)       1398g          $ 12.67
S pear                1823g          $20.83
S Pineapple           1488 g         $66
S Apple (green)       248 g          $11.7
S Pear                1.59 kg        $21.22
S Apple (red)         1998g          $8.61
S Banana              0.763kg        $ 21.62
S Pear                193 g          $21.02
S watermelon          408 g          $35.37
S Pineapple           234 g          $59.48
S pear                1.593 kg       $21.24
S Pear                752g           $19.15
S apple (red)         1.702kg        $8.13
S orange              724 g          $26
P Orange              12.094kg       $19.96
S Apple (red)         802 g          $9.54
S Pineapple           1.73kg         $59.74
P Apple (green)       11309g         $11.12
S Watermelon          1062 g         $34.9
S Pineapple           1593 g         $ 67.29
S Pear                1.089kg        $18.92
S pear                375g           $21
P Watermelon          16.801kg       $26.36
S Apple (green)       1933 g         $12.73
S Watermelon          1126g          $34.67
S pineapple           1506g          $60.08
S Apple (red)         1.395kg        $ 8.67
S pineapple           1.428 kg       $56.3
S Watermelon          1916g          $31.46
S Banana              121g           $22.23
S pineapple           1369 g         $58.75
S Apple (green)       1316 g         $12.98
S Apple (green)       722 g          $12.28
S pineapple           1.745kg        $66.08
S Watermelon          149g           $29.90
S Orange              1.887 kg       $27.14
S Watermelon          1.699 kg       $34.40
S Banana              1.488 kg       $21.1
S Pear                518 g          $20.3
S Apple (red)         0.578kg        $8.3
P watermelon          6.127 kg       $30.50
S Apple (green)       550 g          $11.6
P apple (red)         11551g         $7
S Pineapple           341g           $59.44
P pineapple           12.783 kg      $49.3
S Orange              602 g          $ 28.57
S Orange              1675g          $25.9
S Banana              565g           $22.0
S Pear                507g           $17.2
S Orange              232g           $24.09
S Banana              461 g          $21.49
S Pineapple           668 g          $ 66.18
S Apple (red)         1480 g         $8.6
S apple (red)         1913g          $8.63
S Banana              1.627kg        $20.56
P Banana              17.419 kg      $20.70
S pear                547g           $20.27
S Watermelon          1936 g         $33.44
S Watermelon          1.683kg        $29.11
S Apple (red)         1.386 kg       $9.49
S Apple (green)       1.589 kg       $12.51
S Apple (red)         857g           $ 7
S banana              0.759 kg       $23
S Orange              1.336 kg       $ 23.69
S Apple (red)         388g           $8.8
S Watermelon          630g           $30.5
S Pear                1.65 kg        $21.48
S Banana              1.635 kg       $22.95
S orange              1504 g         $23.71
S Apple (red)         1.767kg        $8.93
S Orange              313g           $27.81
S Apple (red)         510g           $8.7
P Pear                8.895kg        $15.09
S Pineapple           1.297 kg       $55.62
S Banana              239 g          $ 22.2
S Pear                1840g          $ 20.16
P Apple (green)       5378g          $12
S Orange              722 g          $28.09
S Banana              624 g          $19.26
S Apple (green)       385g           $12.39
S Apple (red)         1288 g         $8.8
S Pineapple           1.394kg        $56.28
P Apple (green)       10002g         $10.41
S Apple (red)         938g           $9.25
S Orange              0.778 kg       $26.6
S Apple (red)         248g           $9.11
S Apple (red)         0.97 kg        $8
S Apple (red)         0.597 kg       $8.9
P Pineapple           18257 g        $ 52.8
S Pear                1551 g         $18.73
P Banana              5898g          $ 20
P Pear                15282g         $16.17
S Pineapple           861 g          $ 55.84
S Apple (red)         1.224kg        $7.72
S Banana              1.763kg        $21.1
S orange              1.084kg        $23.5
S banana              1614 g         $20.13
S Apple (green)       545 g          $11.99
P Pear                6937g          $ 16
S apple (red)         1.663 kg       $8.2
S pineapple           116g           $63.4
S Apple (red)         130g           $9.1
S watermelon          1627 g         $31.6
S Pear                1186 g         $18.20
S Apple (red)         1.324 kg       $8.4
S Pineapple           440 g          $65.56
S Watermelon          1145g          $ 34.3
S Watermelon          579g           $33.39
S Banana              0.782 kg       $20.5
P Banana              6558g          $ 16
S Apple (red)         1145 g         $8.88
P Pineapple           16.558kg       $51.16
S Orange              149 g          $23.66
S Orange              1.264 kg       $27.57
S banana              612g           $19.69
S Pineapple           1108 g         $61.92
S pear                1149g          $20.9
S Apple (green)       314 g          $11.5
P Orange              8437 g         $ 20.84
S Orange              1.749 kg       $27.07
P Apple (red)         7809g          $6.94
S Pineapple           1022g          $57.50
S Apple (green)       1661g          $14.30
S Pineapple           146g           $ 67.78
S Pear                1542g          $17.1
S Banana              149g           $19.1
S Pear                1.464kg        $18.66
S pineapple           448g           $65.80
P Apple (red)         19680g         $7.62
S Pear                1.991 kg       $17.37
S pineapple           1.972 kg       $62.4
S Apple (green)       1.835kg        $12.3
S Apple (green)       1.171 kg       $13.01
S Apple (red)         138g           $7.68
S Watermelon          1.738 kg       $28.52
S Apple (red)         1.798 kg       $8.73
S Orange              877g           $28
S Watermelon          0.665kg        $ 34.83
S Banana              1316g          $23.9
P Pineapple           1204g          $54.2
S Pear                1831 g         $18
P Apple (red)         4.047kg        $7.3
S Pineapple           0.961kg        $68.1
S Orange              1525g          $26.69
S Watermelon          351 g          $ 32.76
S Watermelon          1.031 kg       $31.55
S Pineapple           240g           $ 62.87
S Orange              1.115kg        $27.7
S Apple (red)         1533 g         $9.23
S pear                1.428kg        $18.94
P Apple (red)         3626 g         $8.14
S Apple (red)         1682g          $7
S Watermelon          1587g          $34.78
S Apple (red)         1.646 kg       $9.49
P Apple (red)         18.638 kg      $6.98
S banana              1.119kg        $ 22.49
P Pineapple           1126 g         $58.37
S Banana              1039 g         $21.3
S Apple (red)         1.457kg        $8.4
S Banana              1598g          $ 23.61
S Watermelon          661g           $33.85
P Apple (red)         1.752 kg       $ 7.48
S Watermelon          0.632 kg       $30.95
S Apple (red)         0.715kg        $8.63
S Watermelon          1582 g         $34
S Pineapple           1439 g         $55.25
S pineapple           861g           $ 63.52
P apple (green)       4167 g         $11.24
S apple (green)       1.382kg        $ 12.1
S watermelon          692g           $35.6
S Pineapple           0.69kg         $57.28
S Watermelon          1.302 kg       $32.65
S Orange              607 g          $ 24.5
S banana              433g           $21
S Apple (red)         722 g          $8.8
P Banana              4.615kg        $20.6
S Apple (red)         438 g          $8.53
P Apple (green)       13.979 kg      $9.8
S Apple (red)         391 g          $8
S Orange              0.585 kg       $ 27.6
P Apple (red)         3436 g         $8.1
S Banana              1.498 kg       $ 19.7
S Watermelon          1890 g         $30.64
S apple (red)         988g           $ 8.2
S Banana              1244 g         $22.78
S Orange              1.746 kg       $23.12
S pineapple           1382 g         $63.3
S Orange              1.339kg        $28
S Pineapple           625g           $ 59.68
S Pear                0.59kg         $18.4
P Apple (red)         8.791 kg       $ 6.6
S Pineapple           1999 g         $56.69
S Apple (red)         151 g          $8.0
P Watermelon          16.529kg       $30.17
P Pear                15512 g        $ 16.15
S banana              1545 g         $20.76
S Apple (green)       274 g          $14.26
S Pineapple           237 g          $66.8
S Pear                1.396kg        $18.35
S Pear                1827g          $ 19.13
S watermelon          386 g          $30.42
S Apple (red)         1.383kg        $8.5
S Apple (green)       1.842 kg       $12.4
S Banana              1.793 kg       $22.85
S Pear                1.881kg        $17.2
P Apple (red)         3264 g         $7.3
S Watermelon          568g           $29.7
S Banana              1.419 kg       $23.32
P Apple (green)       16601 g        $ 10.3
S Pineapple           126 g          $64.6
S Apple (green)       402g           $ 12.6
S Pear                384g           $20.3
S Apple (red)         1087g          $8.8
S Apple (green)       370 g          $12.5
S Apple (green)       1502 g         $ 12.38
S Pineapple           1.854 kg       $55.45
S Pear                1.258 kg       $ 20.89
S Pear                0.622 kg       $21.43
S Orange              1337g          $23
P Watermelon          15641 g        $ 28.20
S pear                401 g          $18.59
S Watermelon          1.599 kg       $ 35.66
S Watermelon          1687 g         $32
P Pear                7.567 kg       $ 14.43
S Apple (red)         172 g          $8.63
S watermelon          1.857 kg       $30.13
S Pineapple           259g           $67.35
S Pineapple           1.322 kg       $67
S Apple (green)       1.444 kg       $14.0
S Pear                1193 g         $17.1
S banana              283g           $22.04
S Pineapple           1292g          $58.60
S banana              1.347 kg       $19.82
S Banana              0.537 kg       $19.21
S Watermelon          1162g          $33.83
S Pear                448 g          $17.74
S apple (green)       0.648 kg       $ 11
S Watermelon          0.574kg        $ 32.44
S Apple (green)       0.901 kg       $11.47
S Apple (green)       911 g          $14.04
S Apple (green)       1.78 kg        $12.90
P Apple (red)         14.537 kg      $7.0
S banana              1.398kg        $21.04
S Watermelon          1.137kg        $32.06
S pear                1969 g         $20.28
S Pear                1.013kg        $19.66
S Apple (red)         1682g          $8
S Pear                1.115 kg       $17.6
S Banana              977g           $22.36
S Watermelon          1365g          $33.69
S Apple (green)       1130g          $14.1
S Orange              1427 g         $23.07
S Pineapple           1700 g         $68.53
S Apple (red)         397g           $7.66
S Apple (green)       401 g          $ 12.21
S Pineapple           598 g          $61.5
S Pineapple           1619g          $ 62
S pear                1777 g         $19.8
S Pineapple           1.461kg        $58.01
S banana              1.851 kg       $21.7
S Apple (red)         1.812kg        $ 7.87
S Apple (green)       0.552kg        $ 13.49
S Apple (red)         1214g          $7.88
S Banana              1.178kg        $20
S Pear                432 g          $20.73
S Watermelon          1.741kg        $ 31.5
S Pineapple           0.517kg        $ 64.34
S Orange              1487 g         $ 23.95
S Pineapple           1135g          $63.03
S Orange              1.13 kg        $ 24.88
S Pear                1283 g         $ 19.26
S Pineapple           469 g          $66.61
S Banana              0.866 kg       $ 19.8
S Apple (red)         0.81 kg        $ 9.13
S Banana              1.292 kg       $19.31
S Pineapple           0.981kg        $65.8
S Apple (red)         1949 g         $8
S Apple (green)       1545g          $14.2
S Apple (green)       116 g          $ 12.8
S Apple (green)       1.849kg        $12
S Banana              660 g          $20.29
S watermelon          0.685kg        $32.8
S Pineapple           1.879kg        $ 58.1
S Pineapple           700g           $ 55.6
S orange              0.693 kg       $27.57
S Orange              193g           $27
S banana              274g           $21.77
S banana              812g           $19
S apple (green)       1955 g         $13.29
S Watermelon          941g           $34.67
S apple (red)         677 g          $8.54
S apple (green)       1.774 kg       $11.9
S Watermelon          1.661kg        $35.93
S Pear                1.305kg        $ 17.64
S Pineapple           1.444kg        $65
S Orange              994g           $ 28.27
P Apple (red)         13.368kg       $7.2
S Banana              786g           $22.4
S pineapple           1111 g         $63.16
S Watermelon          1.153 kg       $ 31.97
S Watermelon          1.333 kg       $29
P Orange              1645g          $ 23
S Apple (green)       384g           $14.39
S Apple (red)         1.653kg        $8.72
S Apple (green)       1667 g         $13.64
S Apple (green)       155g           $13.2
S Apple (green)       497g           $ 14.05
S orange              294g           $ 28.14
S Orange              1156g          $26.17
S Orange              1.073 kg       $28.37
P Orange              0.667kg        $22.05
P Watermelon          16136g         $28.03
S Apple (red)         749 g          $7.65
S Pear                108 g          $19.9
P Orange              1.983kg        $23.4
S pear                0.896 kg       $19
P Pineapple           3341 g         $52.0
S Apple (red)         506g           $8.6
S Banana              1.531kg        $23.51
S Banana              271g           $22.58
